Date:  16:48, Monday, November 14, 2016
Model name:Devin
Study name:Static 1(-Default-)
Mesh type: Solid Mesh


Node  ,Value  ,X (in)  ,Y (in)  ,Z (in)
674  ,0.000e+000  ,-1  ,9.6875  ,-1.7321
675  ,0.000e+000  ,-1  ,9.375  ,-1.7321
676  ,0.000e+000  ,-1  ,9.0625  ,-1.7321
677  ,0.000e+000  ,-1  ,8.75  ,-1.7321
678  ,0.000e+000  ,-1  ,8.4375  ,-1.7321
679  ,0.000e+000  ,-1  ,8.125  ,-1.7321
680  ,0.000e+000  ,-1  ,7.8125  ,-1.7321
681  ,0.000e+000  ,-1  ,7.5  ,-1.7321
682  ,0.000e+000  ,-1  ,7.1875  ,-1.7321
683  ,0.000e+000  ,-1  ,6.875  ,-1.7321
684  ,0.000e+000  ,-1  ,6.5625  ,-1.7321
685  ,0.000e+000  ,-1  ,6.25  ,-1.7321
686  ,0.000e+000  ,-1  ,5.9375  ,-1.7321
687  ,0.000e+000  ,-1  ,5.625  ,-1.7321
688  ,0.000e+000  ,-1  ,5.3125  ,-1.7321
689  ,0.000e+000  ,-1  ,5  ,-1.7321
690  ,0.000e+000  ,-1.2649  ,5  ,-1.5492
691  ,0.000e+000  ,-1.497  ,5  ,-1.3262
692  ,0.000e+000  ,-1.6904  ,5  ,-1.0689
693  ,0.000e+000  ,-1.84  ,5  ,-0.78393
694  ,0.000e+000  ,-1.9419  ,5  ,-0.47863
695  ,0.000e+000  ,-1.9935  ,5  ,-0.16093
696  ,0.000e+000  ,-1.9935  ,5  ,0.16093
697  ,0.000e+000  ,-1.9419  ,5  ,0.47863
698  ,0.000e+000  ,-1.84  ,5  ,0.78393
699  ,0.000e+000  ,-1.6904  ,5  ,1.0689
700  ,0.000e+000  ,-1.497  ,5  ,1.3262
701  ,0.000e+000  ,-1.2649  ,5  ,1.5492
702  ,0.000e+000  ,-1  ,5  ,1.7321
703  ,0.000e+000  ,-1  ,5.3125  ,1.7321
704  ,0.000e+000  ,-1  ,5.625  ,1.7321
705  ,0.000e+000  ,-1  ,5.9375  ,1.7321
706  ,0.000e+000  ,-1  ,6.25  ,1.7321
707  ,0.000e+000  ,-1  ,6.5625  ,1.7321
708  ,0.000e+000  ,-1  ,6.875  ,1.7321
709  ,0.000e+000  ,-1  ,7.1875  ,1.7321
710  ,0.000e+000  ,-1  ,7.5  ,1.7321
711  ,0.000e+000  ,-1  ,7.8125  ,1.7321
712  ,0.000e+000  ,-1  ,8.125  ,1.7321
713  ,0.000e+000  ,-1  ,8.4375  ,1.7321
714  ,0.000e+000  ,-1  ,8.75  ,1.7321
715  ,0.000e+000  ,-1  ,9.0625  ,1.7321
716  ,0.000e+000  ,-1  ,9.375  ,1.7321
717  ,0.000e+000  ,-1  ,9.6875  ,1.7321
718  ,0.000e+000  ,-1.2649  ,7.5  ,1.5492
719  ,0.000e+000  ,-1.497  ,7.5  ,1.3262
720  ,0.000e+000  ,-1.6904  ,7.5  ,1.0689
721  ,0.000e+000  ,-1.84  ,7.5  ,0.78393
722  ,0.000e+000  ,-1.9419  ,7.5  ,0.47863
723  ,0.000e+000  ,-1.9935  ,7.5  ,0.16093
724  ,0.000e+000  ,-1.9935  ,7.5  ,-0.16093
725  ,0.000e+000  ,-1.9419  ,7.5  ,-0.47863
726  ,0.000e+000  ,-1.84  ,7.5  ,-0.78393
727  ,0.000e+000  ,-1.6904  ,7.5  ,-1.0689
728  ,0.000e+000  ,-1.497  ,7.5  ,-1.3262
729  ,0.000e+000  ,-1.2649  ,7.5  ,-1.5492
730  ,0.000e+000  ,-1.2649  ,7.1875  ,1.5492
731  ,0.000e+000  ,-1.497  ,7.1875  ,1.3262
732  ,0.000e+000  ,-1.6904  ,7.1875  ,1.0689
733  ,0.000e+000  ,-1.84  ,7.1875  ,0.78393
